Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux)	10001182
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
AsymmetricTop	Excited	18	O+	8	Ground	19	O+	8	12237.7765292013	8.13058769700748E-9	14380.6144444182	2142.83791521688	14.7649621112484	229371.975903376	0	pP15,4(19)	Excited v=1 18 14  4 - Ground v=0 19 15  4
AsymmetricTop	Excited	17	O-	7	Ground	18	O-	8	12238.2409887493	8.68761266183533E-9	14368.4241199793	2130.18313123002	14.6683520812039	240919.787623822	0	pP15,4(18)	Excited v=1 17 14  4 - Ground v=0 18 15  4
AsymmetricTop	Excited	17	O+	8	Ground	18	O+	8	12238.2409887493	8.68761266183533E-9	14368.4241199793	2130.18313123002	14.6683520812039	240919.787623822	0	pP15,3(18)	Excited v=1 17 14  3 - Ground v=0 18 15  3
AsymmetricTop	Excited	16	O-	7	Ground	17	O-	8	12238.7166564687	9.25823582033886E-9	14356.911049827	2118.19439335828	14.5896312833678	254179.315241358	0	pP15,3(17)	Excited v=1 16 14  3 - Ground v=0 17 15  3
AsymmetricTop	Excited	16	O+	8	Ground	17	O+	8	12238.7166564687	9.25823582033886E-9	14356.911049827	2118.19439335828	14.5896312833678	254179.315241358	0	pP15,2(17)	Excited v=1 16 14  2 - Ground v=0 17 15  2
AsymmetricTop	Excited	15	O-	7	Ground	16	O-	8	12239.2035307396	9.84271725649905E-9	14346.0752315544	2106.87170081474	14.5321881044457	269544.810861629	0	pP15,2(16)	Excited v=1 15 14  2 - Ground v=0 16 15  2
AsymmetricTop	Excited	15	O+	8	Ground	16	O+	8	12239.2035307396	9.84271725649907E-9	14346.0752315544	2106.87170081474	14.5321881044457	269544.81086163	0	pP15,1(16)	Excited v=1 15 14  1 - Ground v=0 16 15  1
AsymmetricTop	Excited	14	O+	8	Ground	15	O+	8	12239.70161004	1.0442312940329E-8	14335.9166628962	2096.21505285621	14.5003120582866	287537.193579414	0	pP15,0(15)	Excited v=1 14 14  0 - Ground v=0 15 15  0
AsymmetricTop	Excited	14	O-	7	Ground	15	O-	8	12239.70161004	1.0442312940329E-8	14335.9166628962	2096.21505285621	14.5003120582866	287537.193579414	0	pP15,1(15)	Excited v=1 14 14  1 - Ground v=0 15 15  1
AsymmetricTop	Excited	29	E-	7	Ground	30	E-	7	12245.766347228	4.49698360651989E-9	14311.8890150183	2066.12266779029	5.25156412217336	153786.427995647	0	pP14,17(30)	Excited v=1 29 13 17 - Ground v=0 30 14 17
AsymmetricTop	Excited	29	E+	7	Ground	30	E+	8	12245.766347228	4.49698360651991E-9	14311.8890150183	2066.12266779029	5.25156412217336	153786.427995647	0	pP14,16(30)	Excited v=1 29 13 16 - Ground v=0 30 14 16
AsymmetricTop	Excited	28	E+	7	Ground	29	E+	8	12246.1073187516	4.98248289913079E-9	14292.2486015917	2046.14128284002	5.18646517937261	157222.333038879	0	pP14,15(29)	Excited v=1 28 13 15 - Ground v=0 29 14 15
AsymmetricTop	Excited	28	E-	7	Ground	29	E-	7	12246.1073187516	4.98248289913081E-9	14292.2486015917	2046.14128284002	5.18646517937261	157222.333038879	0	pP14,16(29)	Excited v=1 28 13 16 - Ground v=0 29 14 16
AsymmetricTop	Excited	27	E+	7	Ground	28	E+	8	12246.4595291377	5.49965521998265E-9	14273.2854875134	2026.82595837563	5.12252580431245	160944.656648746	0	pP14,14(28)	Excited v=1 27 13 14 - Ground v=0 28 14 14
AsymmetricTop	Excited	27	E-	7	Ground	28	E-	7	12246.4595291377	5.49965521998265E-9	14273.2854875134	2026.82595837563	5.12252580431245	160944.656648746	0	pP14,15(28)	Excited v=1 27 13 15 - Ground v=0 28 14 15
AsymmetricTop	Excited	26	E-	7	Ground	27	E-	7	12246.8229752413	6.04789669523007E-9	14254.999668182	2008.17669294077	5.05988740152678	164990.4269104	0	pP14,14(27)	Excited v=1 26 13 14 - Ground v=0 27 14 14
AsymmetricTop	Excited	26	E+	7	Ground	27	E+	8	12246.8229752413	6.04789669523011E-9	14254.999668182	2008.17669294077	5.05988740152678	164990.4269104	0	pP14,13(27)	Excited v=1 26 13 13 - Ground v=0 27 14 13
AsymmetricTop	Excited	25	E-	7	Ground	26	E-	7	12247.1976540313	6.62627003820173E-9	14237.3911391606	1990.19348512928	4.9987126098874	169403.202273404	0	pP14,13(26)	Excited v=1 25 13 13 - Ground v=0 26 14 13
AsymmetricTop	Excited	25	E+	7	Ground	26	E+	8	12247.1976540313	6.62627003820173E-9	14237.3911391606	1990.19348512928	4.9987126098874	169403.202273404	0	pP14,12(26)	Excited v=1 25 13 12 - Ground v=0 26 14 12
